"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.08.2020","32,245","32,300","32,380","31,730","9,53M","0,31%"
"24.08.2020","32,145","32,000","32,300","31,500","16,16M","3,34%"
"21.08.2020","31,105","30,960","31,700","30,435","10,15M","0,48%"
"20.08.2020","30,955","31,300","31,500","30,545","7,77M","-1,01%"
"19.08.2020","31,270","30,740","31,525","30,465","14,82M","2,56%"
"18.08.2020","30,490","30,635","30,740","30,295","6,38M","-0,47%"
"17.08.2020","30,635","30,825","30,910","30,295","6,58M","-0,37%"
"14.08.2020","30,750","30,980","31,030","30,350","13,00M","-0,28%"
"13.08.2020","30,835","30,200","31,030","29,780","22,67M","0,46%"
"12.08.2020","30,695","30,345","31,105","30,150","13,81M","0,46%"
"11.08.2020","30,555","30,730","30,960","30,500","11,18M","-1,00%"
"10.08.2020","30,865","30,300","30,890","30,255","9,00M","1,76%"
"07.08.2020","30,330","30,300","30,825","30,000","9,17M","-0,03%"
"06.08.2020","30,340","30,475","30,495","29,600","18,89M","-0,02%"
"05.08.2020","30,345","29,350","30,900","29,045","32,76M","3,60%"
"04.08.2020","29,290","28,860","29,335","28,545","13,07M","1,54%"
"03.08.2020","28,845","28,095","29,495","22,985","18,02M","3,02%"
"31.07.2020","28,000","28,040","28,465","27,750","7,85M","-0,12%"
"30.07.2020","28,035","28,350","28,600","27,535","12,56M","-0,59%"
"29.07.2020","28,200","27,880","28,680","27,400","17,55M","1,62%"
"28.07.2020","27,750","27,375","27,975","27,005","16,48M","2,85%"
"27.07.2020","26,980","26,595","27,100","26,355","13,16M","1,58%"
"24.07.2020","26,560","26,500","26,650","26,120","11,13M","-1,08%"
"23.07.2020","26,850","26,430","26,990","25,900","11,60M","2,34%"
"22.07.2020","26,235","26,245","26,490","26,025","8,97M","0,88%"
"21.07.2020","26,005","26,000","26,100","25,705","18,17M","0,25%"
"20.07.2020","25,940","25,885","26,130","25,780","5,04M","0,14%"
"17.07.2020","25,905","25,830","26,065","25,805","4,87M","-0,37%"
"16.07.2020","26,000","25,725","26,035","25,650","4,49M","0,78%"
"15.07.2020","25,800","25,770","26,145","25,605","9,34M","1,57%"
"14.07.2020","25,400","26,150","26,240","25,370","14,09M","-3,09%"
"13.07.2020","26,210","26,400","26,695","26,210","3,87M","-0,89%"
"10.07.2020","26,445","26,400","26,695","26,315","4,39M","-0,23%"
"09.07.2020","26,505","26,905","27,100","26,330","11,23M","-1,65%"
"08.07.2020","26,950","26,775","27,080","26,400","8,36M","0,96%"
"07.07.2020","26,695","26,060","26,895","26,060","11,38M","0,60%"
"06.07.2020","26,535","26,790","27,250","26,265","11,81M","-0,43%"
"03.07.2020","26,650","26,205","26,820","26,205","4,51M","1,91%"
"02.07.2020","26,150","26,155","26,440","26,150","5,18M","-0,49%"
"30.06.2020","26,280","26,470","26,690","26,150","4,43M","-0,61%"
"29.06.2020","26,440","26,115","26,440","25,755","4,40M","0,23%"
"26.06.2020","26,380","26,395","26,640","26,120","4,80M","0,53%"
"25.06.2020","26,240","26,230","26,495","25,875","7,55M","-1,17%"
"23.06.2020","26,550","26,655","26,750","26,405","5,75M","0,19%"
"22.06.2020","26,500","26,705","26,890","26,325","6,12M","-1,78%"
"19.06.2020","26,980","27,000","27,160","27,000","4,02M","0,62%"
"18.06.2020","26,815","26,885","27,120","26,570","5,81M","-0,26%"
"17.06.2020","26,885","27,460","27,500","26,830","6,45M","-1,34%"
"16.06.2020","27,250","27,090","27,590","26,940","6,14M","1,74%"
"15.06.2020","26,785","26,250","26,805","25,900","5,57M","0,06%"
"11.06.2020","26,770","27,300","27,470","26,255","22,30M","-2,74%"
"10.06.2020","27,525","27,850","28,000","27,350","7,21M","-0,99%"
"09.06.2020","27,800","27,800","28,080","27,150","6,92M","0,18%"
"08.06.2020","27,750","27,880","28,160","27,700","10,04M","0,36%"
"05.06.2020","27,650","27,200","27,800","26,930","16,46M","2,71%"
"04.06.2020","26,920","28,080","28,095","26,515","33,37M","-3,86%"
"03.06.2020","28,000","28,545","29,230","27,805","17,33M","-0,74%"
"02.06.2020","28,210","28,140","28,635","27,865","9,11M","0,41%"
"01.06.2020","28,095","27,995","28,220","27,515","8,73M","1,02%"
"29.05.2020","27,810","28,250","28,250","27,520","8,91M","-1,73%"
"28.05.2020","28,300","27,735","28,390","27,450","10,33M","2,18%"
"27.05.2020","27,695","27,450","28,700","27,105","21,97M","0,97%"
"26.05.2020","27,430","26,995","27,850","26,825","20,54M","2,62%"
"25.05.2020","26,730","26,200","26,820","26,105","7,39M","2,02%"
"22.05.2020","26,200","26,180","26,300","25,820","8,80M","-0,13%"
"21.05.2020","26,235","26,265","26,875","26,055","16,83M","-0,11%"
"20.05.2020","26,265","25,800","26,610","25,475","17,92M","1,80%"
"19.05.2020","25,800","25,950","26,050","25,700","7,95M","0,27%"
"18.05.2020","25,730","25,575","25,745","25,275","7,85M","2,02%"
"15.05.2020","25,220","25,600","25,600","25,210","6,00M","-0,71%"
"14.05.2020","25,400","25,350","25,795","24,920","8,24M","0,20%"
"13.05.2020","25,350","25,505","25,600","25,125","7,71M","-1,71%"
"12.05.2020","25,790","25,845","25,935","25,440","9,56M","-0,04%"
"08.05.2020","25,800","26,115","26,115","25,705","5,24M","-0,77%"
"07.05.2020","26,000","26,100","26,350","25,905","5,76M","-0,65%"
"06.05.2020","26,170","26,495","26,615","26,120","5,98M","-0,98%"
"05.05.2020","26,430","26,350","26,530","26,075","10,40M","0,95%"
"04.05.2020","26,180","26,015","26,320","25,615","6,51M","-0,72%"
"30.04.2020","26,370","26,700","27,100","26,200","17,62M","-0,53%"
"29.04.2020","26,510","26,000","26,750","25,920","16,71M","1,38%"
"28.04.2020","26,150","26,050","26,500","25,730","14,89M","0,38%"
"27.04.2020","26,050","25,795","26,245","25,785","9,55M","1,32%"
"24.04.2020","25,710","26,090","26,090","25,500","11,12M","-1,85%"
"23.04.2020","26,195","25,890","26,315","25,465","14,81M","1,57%"
"22.04.2020","25,790","25,450","25,975","25,065","15,34M","1,16%"
"21.04.2020","25,495","25,600","25,600","24,550","15,75M","-0,82%"
"20.04.2020","25,705","25,400","25,820","25,320","12,39M","0,41%"
"17.04.2020","25,600","25,800","25,950","25,430","13,00M","-0,58%"
"16.04.2020","25,750","25,100","25,900","24,770","14,47M","3,10%"
"15.04.2020","24,975","25,800","25,800","24,720","15,85M","-3,96%"
"14.04.2020","26,005","25,485","26,300","25,485","30,38M","2,58%"
"13.04.2020","25,350","25,960","25,960","25,000","8,33M","-2,07%"
"10.04.2020","25,885","26,010","26,020","25,635","6,93M","-0,54%"
"09.04.2020","26,025","25,850","26,170","25,550","20,50M","1,07%"
"08.04.2020","25,750","25,900","25,945","25,130","15,69M","-1,15%"
"07.04.2020","26,050","26,200","26,620","25,805","27,98M","1,15%"
"06.04.2020","25,755","25,045","27,545","24,800","22,57M","3,73%"
"03.04.2020","24,830","25,100","25,195","24,560","9,92M","-0,50%"
"02.04.2020","24,955","25,370","25,370","24,360","16,88M","0,81%"
"01.04.2020","24,755","24,700","24,965","24,110","11,06M","-1,57%"
"31.03.2020","25,150","24,600","25,400","24,005","16,75M","3,09%"
"30.03.2020","24,395","24,310","24,495","23,605","12,12M","-0,18%"
"27.03.2020","24,440","25,420","25,570","24,040","10,26M","-4,19%"
"26.03.2020","25,510","25,200","25,810","24,560","13,84M","1,73%"
"25.03.2020","25,075","25,050","25,980","23,365","34,87M","2,98%"
"24.03.2020","24,350","22,400","24,480","22,205","38,96M","12,76%"
"23.03.2020","21,595","21,180","22,250","20,900","13,49M","-3,59%"
"20.03.2020","22,400","22,050","22,995","21,565","33,92M","6,14%"
"19.03.2020","21,105","20,700","21,995","20,040","27,07M","3,41%"
"18.03.2020","20,410","22,520","22,915","20,300","17,43M","-11,26%"
"17.03.2020","23,000","23,890","23,975","22,440","14,27M","-3,30%"
"16.03.2020","23,785","23,700","24,400","22,050","22,44M","-2,52%"
"13.03.2020","24,400","25,500","26,665","24,400","32,37M","-2,40%"
"12.03.2020","25,000","29,010","29,475","25,000","28,56M","-15,68%"
"11.03.2020","29,650","31,300","31,310","25,535","14,44M","-4,35%"
"10.03.2020","31,000","29,520","32,700","29,310","29,13M","-1,59%"
"06.03.2020","31,500","31,360","32,600","30,580","16,66M","-2,48%"
"05.03.2020","32,300","33,010","33,105","31,550","9,98M","1,25%"
"04.03.2020","31,900","31,200","32,100","30,550","9,42M","1,30%"
"03.03.2020","31,490","31,130","32,745","30,510","18,21M","3,57%"
"02.03.2020","30,405","31,990","32,900","28,980","23,32M","-3,09%"
"28.02.2020","31,375","32,050","32,380","30,205","39,68M","-3,76%"
"27.02.2020","32,600","34,415","35,100","32,600","15,17M","-6,78%"
"26.02.2020","34,970","34,400","35,425","33,500","18,42M","1,66%"
"25.02.2020","34,400","35,480","35,995","34,100","33,95M","-5,75%"
"21.02.2020","36,500","36,845","36,980","36,420","8,83M","-1,35%"
"20.02.2020","37,000","37,305","37,745","36,755","17,87M","0,14%"
"19.02.2020","36,950","35,930","37,200","35,850","22,76M","3,21%"
"18.02.2020","35,800","36,400","36,400","35,400","10,80M","-1,84%"
"17.02.2020","36,470","35,450","36,500","35,415","10,57M","3,23%"
"14.02.2020","35,330","35,615","35,620","35,055","8,83M","-0,45%"
"13.02.2020","35,490","35,395","35,720","35,100","6,73M","0,24%"
"12.02.2020","35,405","35,245","35,890","34,935","24,91M","0,45%"
"11.02.2020","35,245","35,300","35,495","34,980","10,55M","0,60%"
"10.02.2020","35,035","35,500","35,585","34,755","8,58M","-1,63%"
"07.02.2020","35,615","35,845","36,055","34,335","15,85M","-0,54%"
"06.02.2020","35,810","36,830","37,000","35,755","9,76M","-2,33%"
"05.02.2020","36,665","36,500","37,355","35,870","17,91M","0,81%"
"04.02.2020","36,370","35,395","36,900","35,080","19,01M","4,06%"
"03.02.2020","34,950","34,400","35,445","34,100","18,46M","0,45%"
"31.01.2020","34,795","35,400","35,400","34,640","10,83M","-1,43%"
"30.01.2020","35,300","35,065","35,585","34,760","10,84M","0,28%"
"29.01.2020","35,200","34,400","35,950","34,280","22,43M","3,07%"
"28.01.2020","34,150","34,375","34,695","33,630","22,28M","-0,09%"
"27.01.2020","34,180","34,495","34,885","33,150","31,99M","-2,34%"
"24.01.2020","35,000","35,690","36,335","34,810","25,51M","-0,57%"
"23.01.2020","35,200","35,350","37,250","34,355","41,48M","-0,94%"
"22.01.2020","35,535","37,155","37,440","35,500","41,54M","-6,12%"
"21.01.2020","37,850","39,300","39,375","37,100","31,68M","-3,49%"
"20.01.2020","39,220","37,990","39,640","37,355","51,47M","6,00%"
"17.01.2020","37,000","33,735","37,500","33,645","61,28M","10,20%"
"16.01.2020","33,575","33,050","33,800","33,045","10,78M","2,36%"
"15.01.2020","32,800","32,800","33,245","32,590","7,07M","-0,09%"
"14.01.2020","32,830","32,350","33,500","32,350","27,09M","1,96%"
"13.01.2020","32,200","31,915","32,285","31,630","9,15M","1,58%"
"10.01.2020","31,700","30,760","31,905","30,565","13,05M","2,92%"
"09.01.2020","30,800","30,315","31,350","30,100","7,54M","2,14%"
"08.01.2020","30,155","30,280","30,300","30,055","4,86M","-0,35%"
"06.01.2020","30,260","30,605","30,605","30,105","3,97M","-1,13%"
"03.01.2020","30,605","30,800","31,070","30,605","3,22M","-0,63%"
"30.12.2019","30,800","30,650","31,150","30,455","6,37M","0,33%"
"27.12.2019","30,700","30,250","30,900","30,120","7,33M","1,49%"
"26.12.2019","30,250","30,005","30,300","30,000","2,96M","0,87%"
"25.12.2019","29,990","30,095","30,300","29,930","3,96M","-0,35%"
"24.12.2019","30,095","30,390","30,745","29,855","8,58M","-0,97%"
"23.12.2019","30,390","30,595","30,595","30,155","6,07M","-1,01%"
"20.12.2019","30,700","29,815","30,880","29,535","13,71M","2,95%"
"19.12.2019","29,820","29,655","29,890","29,110","6,99M","0,05%"
"18.12.2019","29,805","29,500","29,850","29,500","7,19M","1,07%"
"17.12.2019","29,490","29,440","29,550","29,010","8,34M","0,55%"
"16.12.2019","29,330","29,115","29,585","29,100","10,48M","1,84%"
"13.12.2019","28,800","28,630","28,955","28,380","5,85M","1,09%"
"12.12.2019","28,490","28,000","28,855","28,000","19,89M","2,28%"
"11.12.2019","27,855","27,890","28,150","27,800","4,56M","-0,13%"
"10.12.2019","27,890","27,850","27,965","27,755","2,19M","0,14%"
"09.12.2019","27,850","27,860","27,965","27,750","3,42M","0,25%"
"06.12.2019","27,780","27,770","27,990","27,770","1,36M","0,04%"
"05.12.2019","27,770","27,700","27,870","27,700","2,86M","0,29%"
"04.12.2019","27,690","27,420","27,710","27,260","5,52M","1,43%"
"03.12.2019","27,300","27,910","27,985","27,250","5,32M","-2,19%"
"02.12.2019","27,910","27,880","28,200","27,805","3,73M","0,00%"
"29.11.2019","27,910","28,295","28,405","27,900","6,13M","-1,38%"
"28.11.2019","28,300","28,300","28,490","28,145","2,02M","0,35%"
"27.11.2019","28,200","28,055","28,395","28,055","1,78M","0,59%"
"26.11.2019","28,035","28,370","28,445","28,025","3,47M","-1,27%"
"25.11.2019","28,395","28,615","28,620","28,290","2,25M","-0,18%"
"22.11.2019","28,445","28,330","28,825","28,280","2,80M","0,16%"
"21.11.2019","28,400","28,250","28,445","28,055","2,45M","0,41%"
"20.11.2019","28,285","28,255","28,630","28,095","3,22M","-0,04%"
"19.11.2019","28,295","28,210","28,495","28,200","2,54M","0,30%"
"18.11.2019","28,210","28,760","28,780","28,190","3,39M","-1,19%"
"15.11.2019","28,550","28,950","28,950","28,510","3,61M","-1,07%"
"14.11.2019","28,860","28,885","29,090","28,725","3,36M","-0,48%"
"13.11.2019","29,000","28,820","29,065","28,600","5,46M","0,00%"
"12.11.2019","29,000","28,705","29,275","28,510","9,95M","0,50%"
"11.11.2019","28,855","28,670","29,150","28,550","5,25M","0,12%"
"08.11.2019","28,820","28,400","28,905","28,140","21,17M","-3,43%"
"07.11.2019","29,845","29,695","29,970","29,480","9,09M","1,17%"
"06.11.2019","29,500","29,425","29,700","29,200","5,00M","0,34%"
"05.11.2019","29,400","29,105","29,495","28,685","7,09M","1,47%"
"01.11.2019","28,975","28,900","29,130","28,315","6,20M","0,59%"
"31.10.2019","28,805","29,030","29,400","28,755","8,51M","-0,50%"
"30.10.2019","28,950","28,495","28,950","28,350","7,94M","1,94%"
"29.10.2019","28,400","28,250","28,510","28,135","4,73M","0,55%"
"28.10.2019","28,245","27,800","28,380","27,600","11,29M","2,49%"
"25.10.2019","27,560","27,470","27,730","27,270","6,14M","0,25%"
"24.10.2019","27,490","27,280","27,795","27,030","5,33M","0,70%"
"23.10.2019","27,300","27,025","27,380","26,950","3,21M","0,53%"
"22.10.2019","27,155","26,975","27,180","26,790","3,59M","0,87%"
"21.10.2019","26,920","26,715","27,000","26,505","3,84M","0,77%"
"18.10.2019","26,715","27,070","27,305","26,220","10,92M","-1,38%"
"17.10.2019","27,090","27,220","27,220","27,030","3,26M","-0,40%"
"16.10.2019","27,200","27,015","27,365","27,015","1,70M","0,18%"
"15.10.2019","27,150","27,335","27,430","27,025","2,72M","-1,18%"
"14.10.2019","27,475","27,365","27,770","27,255","3,10M","0,24%"
"11.10.2019","27,410","27,600","27,680","27,255","2,25M","-1,01%"
"10.10.2019","27,690","27,120","27,940","26,930","4,94M","1,95%"
"09.10.2019","27,160","26,830","27,320","26,830","1,71M","0,59%"
"08.10.2019","27,000","27,425","27,600","26,605","3,05M","-1,66%"
"07.10.2019","27,455","27,725","27,725","27,405","1,71M","-0,53%"
"04.10.2019","27,600","27,855","28,115","27,480","2,94M","-1,43%"
"03.10.2019","28,000","27,660","28,280","27,035","5,04M","-0,43%"
"02.10.2019","28,120","28,560","28,560","27,770","3,64M","-1,54%"
"01.10.2019","28,560","28,800","28,980","28,300","4,57M","-0,83%"
"30.09.2019","28,800","28,635","28,800","28,460","3,57M","0,35%"
"27.09.2019","28,700","28,400","28,795","28,355","6,24M","0,38%"
"26.09.2019","28,590","28,535","28,695","28,290","6,06M","-0,03%"
"25.09.2019","28,600","28,205","28,750","28,205","6,27M","0,35%"
"24.09.2019","28,500","28,480","28,835","28,285","8,60M","-0,38%"
"23.09.2019","28,610","28,150","28,685","28,005","5,46M","0,30%"
"20.09.2019","28,525","28,200","28,865","27,905","11,33M","1,17%"
"19.09.2019","28,195","28,640","28,760","28,050","9,17M","-2,44%"
"18.09.2019","28,900","27,700","29,255","27,610","20,61M","4,29%"
"17.09.2019","27,710","27,645","27,875","27,520","3,17M","-1,35%"
"16.09.2019","28,090","27,895","28,115","27,410","6,96M","0,68%"
"13.09.2019","27,900","27,945","28,180","27,790","3,00M","0,13%"
"12.09.2019","27,865","28,145","28,340","27,745","5,50M","-0,48%"
"11.09.2019","28,000","27,590","28,000","27,350","6,29M","2,15%"
"10.09.2019","27,410","27,360","27,500","27,135","3,35M","0,05%"
"09.09.2019","27,395","27,340","27,495","27,155","4,04M","0,20%"
"06.09.2019","27,340","27,500","27,600","27,295","4,22M","-0,42%"
"05.09.2019","27,455","27,520","27,600","27,265","4,09M","0,16%"
"04.09.2019","27,410","27,195","27,640","27,010","7,76M","1,57%"
"03.09.2019","26,985","27,365","27,670","26,915","4,63M","-1,21%"
"02.09.2019","27,315","27,000","27,320","26,950","9,18M","2,11%"
"30.08.2019","26,750","26,200","27,100","26,130","8,33M","2,29%"
"29.08.2019","26,150","26,140","26,495","26,005","4,63M","0,19%"
"28.08.2019","26,100","26,200","26,200","25,990","1,61M","0,23%"
"27.08.2019","26,040","26,000","26,305","25,965","1,92M","-0,12%"
"26.08.2019","26,070","25,900","26,200","25,765","4,59M","-1,31%"
"23.08.2019","26,415","26,400","26,700","26,300","2,30M","0,46%"
"22.08.2019","26,295","26,400","26,480","26,270","1,86M","-0,85%"
"21.08.2019","26,520","26,525","26,650","26,200","4,77M","1,51%"
"20.08.2019","26,125","25,910","26,345","25,900","3,48M","1,61%"
"19.08.2019","25,710","25,770","25,855","25,515","3,22M","1,18%"
"16.08.2019","25,410","25,515","25,820","25,315","3,42M","0,08%"
"15.08.2019","25,390","25,760","26,150","25,325","5,64M","-1,38%"
"14.08.2019","25,745","26,580","26,580","25,600","9,43M","-3,25%"
"13.08.2019","26,610","26,545","26,900","26,050","12,98M","-1,08%"
"12.08.2019","26,900","27,295","27,295","26,325","18,72M","-1,47%"
"09.08.2019","27,300","27,000","28,000","26,910","45,48M","-6,02%"
"08.08.2019","29,050","28,750","29,115","28,455","9,52M","1,52%"
"07.08.2019","28,615","28,370","28,900","28,105","6,89M","0,35%"
"06.08.2019","28,515","28,000","28,700","27,815","6,69M","0,87%"
"05.08.2019","28,270","28,000","28,660","27,615","11,26M","-2,35%"
"02.08.2019","28,950","28,475","29,290","28,320","11,71M","-0,58%"
"01.08.2019","29,120","28,855","29,295","28,350","6,03M","0,64%"
"31.07.2019","28,935","29,150","29,430","28,905","5,81M","-1,58%"
"30.07.2019","29,400","29,640","29,845","29,120","9,10M","0,10%"
"29.07.2019","29,370","29,075","29,400","28,740","7,91M","0,93%"
"26.07.2019","29,100","28,800","29,210","28,605","8,99M","0,34%"
"25.07.2019","29,000","28,490","29,090","28,280","9,92M","2,02%"
"24.07.2019","28,425","28,090","28,500","27,925","8,78M","2,10%"
"23.07.2019","27,840","27,840","28,000","27,700","3,87M","-0,57%"
"22.07.2019","28,000","27,870","28,075","27,570","6,37M","0,30%"
"19.07.2019","27,915","27,605","27,985","27,510","14,68M","3,31%"
"18.07.2019","27,020","26,775","27,190","26,730","2,89M","0,92%"
"17.07.2019","26,775","26,965","27,070","26,680","2,10M","-0,15%"
"16.07.2019","26,815","26,715","26,940","26,510","6,26M","0,36%"
"15.07.2019","26,720","26,970","26,970","26,700","1,98M","-0,45%"
"12.07.2019","26,840","27,065","27,065","26,700","5,09M","-0,50%"
"11.07.2019","26,975","27,320","27,415","26,605","3,35M","-1,17%"
"10.07.2019","27,295","26,955","27,385","26,920","3,48M","1,09%"
"09.07.2019","27,000","27,030","27,275","26,250","5,47M","-0,88%"
"08.07.2019","27,240","27,040","27,440","27,040","6,22M","0,80%"
"05.07.2019","27,025","26,410","27,240","26,310","12,29M","2,00%"
"04.07.2019","26,495","26,140","26,500","25,950","4,18M","1,83%"
"03.07.2019","26,020","25,980","26,125","25,750","4,82M","-0,17%"
"02.07.2019","26,065","26,185","26,200","26,000","2,36M","-0,50%"
"01.07.2019","26,195","26,100","26,235","25,860","5,03M","0,36%"
"28.06.2019","26,100","26,000","26,120","25,670","4,04M","0,17%"
"27.06.2019","26,055","26,085","26,195","25,820","4,32M","0,50%"
"26.06.2019","25,925","25,780","26,095","25,640","3,69M","1,75%"
"25.06.2019","25,480","25,900","25,900","25,180","4,70M","-1,20%"
"24.06.2019","25,790","26,000","26,180","25,770","2,42M","-0,81%"
"21.06.2019","26,000","26,450","26,560","25,700","8,79M","-1,91%"
"20.06.2019","26,505","26,245","26,785","25,965","13,87M","2,53%"
"19.06.2019","25,850","25,685","25,940","25,445","7,39M","1,37%"
"18.06.2019","25,500","25,250","25,600","25,180","5,10M","0,99%"
"17.06.2019","25,250","25,095","25,365","24,880","4,13M","0,36%"
"14.06.2019","25,160","25,345","25,395","24,915","5,75M","-0,20%"
"13.06.2019","25,210","25,060","25,380","24,865","6,10M","-0,71%"
"11.06.2019","25,390","24,500","25,395","24,500","22,34M","5,13%"
"10.06.2019","24,150","24,350","24,350","24,065","2,71M","0,58%"
"07.06.2019","24,010","24,040","24,320","24,005","2,91M","0,02%"
"06.06.2019","24,005","23,705","24,080","23,520","6,78M","1,27%"
"05.06.2019","23,705","23,710","23,850","23,615","3,46M","-0,77%"
"04.06.2019","23,890","23,465","24,300","23,380","6,63M","1,81%"
"03.06.2019","23,465","23,495","23,700","23,255","6,81M","-0,99%"
"31.05.2019","23,700","24,025","24,060","23,700","4,92M","-2,01%"
"30.05.2019","24,185","24,240","24,330","24,045","2,17M","-0,19%"
"29.05.2019","24,230","24,300","24,485","23,965","5,97M","-0,59%"
"28.05.2019","24,375","24,600","24,720","24,300","8,48M","0,72%"
"27.05.2019","24,200","24,100","24,650","23,505","22,95M","0,41%"
"24.05.2019","24,100","22,865","25,150","22,615","40,36M","5,22%"
"23.05.2019","22,905","23,265","23,465","22,880","16,62M","-3,74%"
"22.05.2019","23,795","23,950","23,950","23,710","5,06M","-0,29%"
"21.05.2019","23,865","24,000","24,070","23,820","8,54M","-0,89%"
"20.05.2019","24,080","24,350","24,450","24,075","7,64M","-2,25%"
"17.05.2019","24,635","24,695","24,850","24,545","3,34M","-0,26%"
"16.05.2019","24,700","24,155","24,935","24,155","8,43M","0,88%"
"15.05.2019","24,485","24,990","24,990","24,300","14,25M","-2,35%"
"14.05.2019","25,075","24,990","25,100","24,520","27,02M","-3,26%"
"13.05.2019","25,920","26,035","26,155","25,920","3,39M","-0,44%"
"10.05.2019","26,035","26,245","26,245","25,700","3,97M","-1,42%"
"08.05.2019","26,410","26,550","26,550","26,285","5,08M","-0,56%"
"07.05.2019","26,560","26,535","26,645","26,365","6,29M","-0,24%"
"06.05.2019","26,625","26,645","26,700","26,360","7,33M","-1,57%"
"03.05.2019","27,050","27,230","27,230","26,860","3,63M","-0,61%"
"02.05.2019","27,215","27,200","27,295","27,120","4,59M","-1,68%"
"30.04.2019","27,680","27,785","27,845","27,170","3,66M","-0,41%"
"29.04.2019","27,795","28,145","28,145","27,700","3,22M","-0,77%"
"26.04.2019","28,010","28,390","28,390","27,950","4,54M","-1,49%"
"25.04.2019","28,435","28,700","28,700","28,320","6,46M","-1,68%"
"24.04.2019","28,920","28,650","28,990","28,500","5,21M","-0,41%"
"23.04.2019","29,040","28,850","29,115","28,850","3,82M","0,40%"
"22.04.2019","28,925","28,930","29,190","28,835","2,53M","-0,02%"
"19.04.2019","28,930","28,745","28,980","28,555","1,95M","0,80%"
"18.04.2019","28,700","28,700","28,835","28,545","3,62M","-0,98%"
"17.04.2019","28,985","29,060","29,250","28,890","14,36M","3,35%"
"16.04.2019","28,045","28,000","28,065","27,900","2,08M","0,70%"
"15.04.2019","27,850","28,100","28,140","27,750","5,21M","-0,54%"
"12.04.2019","28,000","27,950","28,060","27,750","4,87M","0,09%"
"11.04.2019","27,975","28,000","28,080","27,855","5,61M","-0,66%"
"10.04.2019","28,160","28,220","28,260","28,100","4,02M","-0,25%"
"09.04.2019","28,230","28,155","28,275","28,065","4,46M","0,57%"
"08.04.2019","28,070","28,175","28,280","28,035","3,00M","0,11%"
"05.04.2019","28,040","28,290","28,700","28,020","6,71M","-1,27%"
"04.04.2019","28,400","28,385","28,475","28,065","6,41M","-0,25%"
"03.04.2019","28,470","28,750","28,835","28,400","2,81M","-0,78%"
"02.04.2019","28,695","28,590","28,810","28,495","7,59M","0,88%"
"01.04.2019","28,445","28,125","28,550","27,960","7,14M","1,23%"
"29.03.2019","28,100","28,000","28,370","27,720","12,08M","-0,71%"
"28.03.2019","28,300","28,305","28,865","28,200","6,56M","-1,29%"
"27.03.2019","28,670","29,270","29,270","28,650","9,66M","-2,07%"
"26.03.2019","29,275","29,095","29,370","28,950","8,29M","-0,32%"
"25.03.2019","29,370","29,350","29,460","29,210","6,07M","-1,09%"
"22.03.2019","29,695","29,700","30,035","29,505","9,82M","-0,92%"
"21.03.2019","29,970","29,500","30,140","29,360","10,52M","0,74%"
"20.03.2019","29,750","29,845","29,850","29,580","7,68M","-0,87%"
"19.03.2019","30,010","29,915","30,100","29,915","4,03M","0,22%"
"18.03.2019","29,945","30,000","30,070","29,595","10,98M","-1,12%"
"15.03.2019","30,285","30,475","30,475","29,860","9,35M","-0,46%"
"14.03.2019","30,425","30,750","30,750","30,380","12,73M","-2,06%"
"13.03.2019","31,065","31,005","31,170","30,805","7,95M","-0,75%"
"12.03.2019","31,300","31,380","31,495","31,200","5,09M","0,03%"
"11.03.2019","31,290","31,300","31,490","30,920","14,55M","-1,48%"
"07.03.2019","31,760","31,465","32,220","31,150","34,05M","-3,08%"
"06.03.2019","32,770","32,200","32,770","32,200","6,15M","1,55%"
"05.03.2019","32,270","32,195","32,310","31,920","6,51M","-0,45%"
"04.03.2019","32,415","32,015","32,490","32,015","9,12M","1,53%"
"01.03.2019","31,925","31,650","31,950","31,470","9,20M","0,76%"
"28.02.2019","31,685","31,500","31,685","31,005","10,86M","-0,05%"
"27.02.2019","31,700","31,800","31,950","31,550","7,52M","-1,84%"
"26.02.2019","32,295","31,930","32,310","31,710","3,10M","0,92%"
"25.02.2019","32,000","31,715","32,095","31,635","7,28M","1,88%"
"22.02.2019","31,410","31,130","31,650","31,090","4,06M","0,90%"
"21.02.2019","31,130","31,515","31,655","31,100","3,67M","-1,16%"
"20.02.2019","31,495","31,200","31,615","30,850","6,17M","0,32%"
"19.02.2019","31,395","31,600","31,900","31,120","8,79M","-2,44%"
"18.02.2019","32,180","32,485","32,500","32,110","6,36M","-1,42%"
"15.02.2019","32,645","31,815","32,870","31,560","21,18M","-1,37%"
"14.02.2019","33,100","32,750","33,260","32,600","13,68M","0,29%"
"13.02.2019","33,005","32,650","33,225","32,500","11,64M","1,09%"
"12.02.2019","32,650","32,085","32,700","32,020","8,40M","1,71%"
"11.02.2019","32,100","31,600","32,295","31,310","18,63M","3,55%"
"08.02.2019","31,000","31,870","31,890","30,915","17,30M","2,82%"
"07.02.2019","30,150","31,195","31,200","29,690","21,41M","-3,35%"
"06.02.2019","31,195","31,700","31,750","30,765","16,64M","-0,95%"
"05.02.2019","31,495","30,450","31,545","30,240","21,04M","4,32%"
"04.02.2019","30,190","28,895","30,485","28,860","24,83M","4,83%"
"01.02.2019","28,800","29,000","29,000","28,440","16,41M","-1,69%"
"31.01.2019","29,295","28,430","29,410","27,880","27,72M","3,81%"
